Child	Father	Father Id
	TMS13F1034P0019	IITA-TMS-IBA930007	1595
	TMS13F1050P0008	IITA-TMS-IBA071313	13693
	TMS13F1059P0006	IITA-TMS-ZAR930151	715
	TMS13F1060P0025	IITA-TMS-IBA974766	715
	TMS13F1063P0007	IITA-TMS-IBA30572	721
	TMS13F1063P0009	IITA-TMS-IBA30572	721
	TMS13F1063P0019	IITA-TMS-IBA30572	721
	TMS13F1079P0002	IITA-TMS-ZAR930151	9656
	TMS13F1079P0005	IITA-TMS-ZAR930151	9656
	TMS13F1079P0007	IITA-TMS-ZAR930151	9656
	TMS13F1084P0006	IITA-TMS-IBA930007	9664
	TMS13F1084P0018	IITA-TMS-IBA930007	9664
	TMS13F1086P0003	IITA-TMS-IBA970466	9664
	TMS13F1087P0002	IITA-TMS-IBA980002	9664
	TMS13F1088P0008	IITA-TMS-IBA000350	9664
	TMS13F1095P0009	IITA-TMS-IBA950279	31199
	TMS13F1101P0007	IITA-TMS-IBA930007	31144
	TMS13F1106P0006	IITA-TMS-IBA000350	31144
	TMS13F1107P0004	IITA-TMS-IBA010046	31144
	TMS13F1107P0006	IITA-TMS-IBA010046	31144
	TMS13F1107P0008	IITA-TMS-IBA010046	31144
	TMS13F1107P0010	IITA-TMS-IBA010046	31144
	TMS13F1108P0007	IITA-TMS-IBA011412	31144
	TMS13F1109P0009	IITA-TMS-IBA051553	31144
	TMS13F1111P0012	IITA-TMS-IBA950279	31149
	TMS13F1145P0011	TMEB117	665
	TMS13F1145P0023	TMEB117	665
	TMS13F1153P0007	IITA-TMS-IBA940006	1714
	TMS13F1153P0011	IITA-TMS-IBA940006	1714
	TMS13F1154P0005	IITA-TMS-IBA970425	1714
	TMS13F1154P0008	IITA-TMS-IBA970425	1714
	TMS13F1154P0010	IITA-TMS-IBA970425	1714
	TMS13F1160P0003	IITA-TMS-IBA051740	1714
	TMS13F1160P0009	IITA-TMS-IBA051740	1714
	TMS13F1176P0003	IITA-TMS-IBA960023	9670
	TMS13F1202P0046	IITA-TMS-MM990268	1281
	TMS13F1212P0002	IITA-TMS-IBA020129	1281
	TMS13F1212P0003	IITA-TMS-IBA020129	1281
	TMS13F1212P0032	IITA-TMS-IBA020129	1281
	TMS13F1212P0055	IITA-TMS-IBA020129	1281
	TMS13F1212P0058	IITA-TMS-IBA020129	1281
	TMS13F1212P0061	IITA-TMS-IBA020129	1281
	TMS13F1214P0004	IITA-TMS-IBA020233	1281
	TMS13F1288P0009	IITA-TMS-IBA010903	9653
	TMS13F1332P0045	IITA-TMS-IBA970290	7
	TMS13F1420P0006	IITA-TMS-MM970806	1454
	TMS13F1212P0072	IITA-TMS-IBA020129	1281
	TMS13F1214P0014	IITA-TMS-IBA020233	1281
	TMS13F1303P0001	IITA-TMS-MOK940583	28640
	TMS13F1333P0002	IITA-TMS-IBA010046	7
	TMS13F1423P0009	IITA-TMS-IBA020129	1454
	TMS13F1212P0079	IITA-TMS-IBA020129	1281
	TMS13F1253P0011	IITA-TMS-IBA920429	1466
	TMS13F1332P0042	IITA-TMS-IBA970290	7
	TMS13F1391P0039	IITA-TMS-IBA940006	9681
	TMS13F1214P0029	IITA-TMS-IBA020233	1281
	TMS13F1306P0003	IITA-TMS-IBA000355	28640
	TMS13F1333P0003	IITA-TMS-IBA010046	7
	TMS13F1436P0004	IITA-TMS-IBA010046	713
	TMS13F1214P0036	IITA-TMS-IBA020233	1281
	TMS13F1306P0004	IITA-TMS-IBA000355	28640
	TMS13F1333P0014	IITA-TMS-IBA010046	7
	TMS13F1436P0005	IITA-TMS-IBA010046	713
	TMS13F1216P0006	IITA-TMS-IBA020540	1281
	TMS13F1307P0008	IITA-TMS-IBA010903	28640
	TMS13F1333P0017	IITA-TMS-IBA010046	7
	TMS13F1436P0006	IITA-TMS-IBA010046	713
	TMS13F1216P0010	IITA-TMS-IBA020540	1281
	TMS13F1307P0011	IITA-TMS-IBA010903	28640
	TMS13F1333P0027	IITA-TMS-IBA010046	7
	TMS13F1436P0012	IITA-TMS-IBA010046	713
	TMS13F1216P0015	IITA-TMS-IBA020540	1281
	TMS13F1307P0020	IITA-TMS-IBA010903	28640
	TMS13F1333P0029	IITA-TMS-IBA010046	7
	TMS13F1439P0007	IITA-TMS-IBA020285	713
	TMS13F1216P0026	IITA-TMS-IBA020540	1281
	TMS13F1309P0001	IITA-TMS-IBA030075	28640
	TMS13F1336P0023	IITA-TMS-IBA970290	538
	TMS13F1216P0028	IITA-TMS-IBA020540	1281
	TMS13F1324P0002	IITA-TMS-IBA010046	386
	TMS13F1381P0005	IITA-TMS-IBA010903	9528
	TMS14F1281P0013	IITA-TMS-MM970806	4961
	TMS14F1281P0016	IITA-TMS-MM970806	4961
	TMS14F1281P0017	IITA-TMS-MM970806	4961
	TMS14F1297P0001	IITA-TMS-MM970806	9670
	TMS14F1297P0005	IITA-TMS-MM970806	9670
	TMS14F1297P0007	IITA-TMS-MM970806	9670
	TMS14F1297P0012	IITA-TMS-MM970806	9670
	TMS14F1297P0013	IITA-TMS-MM970806	9670
	TMS14F1297P0016	IITA-TMS-MM970806	9670
	TMS14F1297P0017	IITA-TMS-MM970806	9670
	TMS14F1297P0018	IITA-TMS-MM970806	9670
	TMS14F1297P0019	IITA-TMS-MM970806	9670
	TMS14F1289P0012	IITA-TMS-IBA930134	22495
	TMS14F1289P0013	IITA-TMS-IBA930134	22495
	TMS14F1289P0016	IITA-TMS-IBA930134	22495
	TMS14F1289P0017	IITA-TMS-IBA930134	22495
	TMS14F1310P0013	IITA-TMS-IBA930265	28640
	TMS14F1310P0016	IITA-TMS-IBA930265	28640
	TMS14F1310P0018	IITA-TMS-IBA930265	28640
	TMS14F1310P0019	IITA-TMS-IBA930265	28640
	TMS14F1290P0005	IITA-TMS-IBA930134	31157
	TMS14F1290P0007	IITA-TMS-IBA930134	31157
	TMS14F1290P0012	IITA-TMS-IBA930134	31157
	TMS14F1290P0013	IITA-TMS-IBA930134	31157
	TMS14F1290P0016	IITA-TMS-IBA930134	31157
	TMS14F1290P0017	IITA-TMS-IBA930134	31157
	TMS14F1290P0018	IITA-TMS-IBA930134	31157
	TMS14F1290P0019	IITA-TMS-IBA930134	31157
	TMS14F1290P0020	IITA-TMS-IBA930134	31157
	TMS14F1293P0005	IITA-TMS-IBA020540	1473
	TMS14F1293P0008	IITA-TMS-IBA020540	1473
	TMS14F1293P0020	IITA-TMS-IBA020540	1473
	TMS14F1295P0012	IITA-TMS-IBA030055A	1473
	TMS14F1295P0013	IITA-TMS-IBA030055A	1473
	TMS14F1295P0016	IITA-TMS-IBA030055A	1473
	TMS14F1295P0017	IITA-TMS-IBA030055A	1473
	TMS14F1295P0018	IITA-TMS-IBA030055A	1473
	TMS14F1285P0012	IITA-TMS-IBA000070	665
	TMS14F1285P0013	IITA-TMS-IBA000070	665
	TMS14F1285P0016	IITA-TMS-IBA000070	665
	TMS14F1285P0017	IITA-TMS-IBA000070	665
	TMS14F1291P0001	IITA-TMS-IBA030055A	665
	TMS14F1291P0008	IITA-TMS-IBA030055A	665
	TMS14F1291P0016	IITA-TMS-IBA030055A	665
	TMS14F1291P0017	IITA-TMS-IBA030055A	665
	TMS14F1291P0018	IITA-TMS-IBA030055A	665
	TMS14F1291P0020	IITA-TMS-IBA030055A	665
	TMS14F1298P0012	IITA-TMS-MM970043	1714
	TMS14F1298P0013	IITA-TMS-MM970043	1714
	TMS14F1298P0016	IITA-TMS-MM970043	1714
	TMS14F1298P0017	IITA-TMS-MM970043	1714
	TMS14F1298P0018	IITA-TMS-MM970043	1714
	TMS14F1299P0008	IITA-TMS-MM970806	1714
	TMS14F1299P0012	IITA-TMS-MM970806	1714
	TMS14F1299P0013	IITA-TMS-MM970806	1714
	TMS14F1299P0016	IITA-TMS-MM970806	1714
	TMS14F1299P0017	IITA-TMS-MM970806	1714
	TMS14F1299P0018	IITA-TMS-MM970806	1714
	TMS14F1299P0019	IITA-TMS-MM970806	1714
	TMS14F1299P0020	IITA-TMS-MM970806	1714
	TMS14F1287P0013	IITA-TMS-ZAR930151	13693
	TMS14F1287P0016	IITA-TMS-ZAR930151	13693
	TMS14F1287P0017	IITA-TMS-ZAR930151	13693
	TMS14F1281P0001	IITA-TMS-MM970806	4961
	TMS14F1281P0002	IITA-TMS-MM970806	4961
	TMS14F1281P0003	IITA-TMS-MM970806	4961
	TMS14F1281P0004	IITA-TMS-MM970806	4961
	TMS14F1281P0005	IITA-TMS-MM970806	4961
	TMS14F1281P0006	IITA-TMS-MM970806	4961
	TMS14F1281P0007	IITA-TMS-MM970806	4961
	TMS14F1281P0008	IITA-TMS-MM970806	4961
	TMS14F1281P0009	IITA-TMS-MM970806	4961
	TMS14F1281P0010	IITA-TMS-MM970806	4961
	TMS14F1281P0011	IITA-TMS-MM970806	4961
	TMS14F1281P0012	IITA-TMS-MM970806	4961
	TMS14F1281P0014	IITA-TMS-MM970806	4961
	TMS14F1281P0015	IITA-TMS-MM970806	4961
	TMS14F1281P0018	IITA-TMS-MM970806	4961
	TMS14F1281P0019	IITA-TMS-MM970806	4961
	TMS14F1281P0020	IITA-TMS-MM970806	4961
	TMS14F1301P0001	IITA-TMS-IBA030055A	9670
	TMS14F1301P0002	IITA-TMS-IBA030055A	9670
	TMS14F1301P0003	IITA-TMS-IBA030055A	9670
	TMS14F1301P0004	IITA-TMS-IBA030055A	9670
	TMS14F1301P0005	IITA-TMS-IBA030055A	9670
	TMS14F1301P0006	IITA-TMS-IBA030055A	9670
	TMS14F1301P0007	IITA-TMS-IBA030055A	9670
	TMS14F1301P0008	IITA-TMS-IBA030055A	9670
	TMS14F1301P0009	IITA-TMS-IBA030055A	9670
	TMS14F1301P0010	IITA-TMS-IBA030055A	9670
	TMS14F1301P0011	IITA-TMS-IBA030055A	9670
	TMS14F1301P0012	IITA-TMS-IBA030055A	9670
	TMS14F1301P0013	IITA-TMS-IBA030055A	9670
	TMS14F1301P0014	IITA-TMS-IBA030055A	9670
	TMS14F1301P0015	IITA-TMS-IBA030055A	9670
	TMS14F1301P0016	IITA-TMS-IBA030055A	9670
	TMS14F1301P0017	IITA-TMS-IBA030055A	9670
	TMS14F1301P0018	IITA-TMS-IBA030055A	9670
	TMS14F1301P0019	IITA-TMS-IBA030055A	9670
	TMS14F1301P0020	IITA-TMS-IBA030055A	9670
	TMS14F1296P0001	IITA-TMS-MM970043	9670
	TMS14F1296P0002	IITA-TMS-MM970043	9670
	TMS14F1296P0003	IITA-TMS-MM970043	9670
	TMS14F1296P0004	IITA-TMS-MM970043	9670
	TMS14F1296P0005	IITA-TMS-MM970043	9670
	TMS14F1296P0006	IITA-TMS-MM970043	9670
	TMS14F1296P0007	IITA-TMS-MM970043	9670
	TMS14F1296P0008	IITA-TMS-MM970043	9670
	TMS14F1296P0009	IITA-TMS-MM970043	9670
	TMS14F1296P0010	IITA-TMS-MM970043	9670
	TMS14F1296P0011	IITA-TMS-MM970043	9670
	TMS14F1296P0012	IITA-TMS-MM970043	9670
	TMS14F1296P0013	IITA-TMS-MM970043	9670
	TMS14F1296P0014	IITA-TMS-MM970043	9670
	TMS14F1296P0015	IITA-TMS-MM970043	9670
	TMS14F1296P0016	IITA-TMS-MM970043	9670
	TMS14F1296P0017	IITA-TMS-MM970043	9670
	TMS14F1296P0018	IITA-TMS-MM970043	9670
	TMS14F1296P0019	IITA-TMS-MM970043	9670
	TMS14F1296P0020	IITA-TMS-MM970043	9670
	TMS14F1297P0002	IITA-TMS-MM970806	9670
	TMS14F1297P0003	IITA-TMS-MM970806	9670
	TMS14F1297P0004	IITA-TMS-MM970806	9670
	TMS14F1297P0006	IITA-TMS-MM970806	9670
	TMS14F1297P0008	IITA-TMS-MM970806	9670
	TMS14F1297P0009	IITA-TMS-MM970806	9670
	TMS14F1297P0010	IITA-TMS-MM970806	9670
	TMS14F1297P0011	IITA-TMS-MM970806	9670
	TMS14F1297P0014	IITA-TMS-MM970806	9670
	TMS14F1297P0015	IITA-TMS-MM970806	9670
	TMS14F1297P0020	IITA-TMS-MM970806	9670
	TMS14F1288P0001	IITA-TMS-IBA030055A	22495
	TMS14F1288P0002	IITA-TMS-IBA030055A	22495
	TMS14F1288P0003	IITA-TMS-IBA030055A	22495
	TMS14F1288P0004	IITA-TMS-IBA030055A	22495
	TMS14F1288P0005	IITA-TMS-IBA030055A	22495
	TMS14F1288P0006	IITA-TMS-IBA030055A	22495
	TMS14F1288P0007	IITA-TMS-IBA030055A	22495
	TMS14F1288P0008	IITA-TMS-IBA030055A	22495
	TMS14F1288P0009	IITA-TMS-IBA030055A	22495
	TMS14F1288P0010	IITA-TMS-IBA030055A	22495
	TMS14F1288P0011	IITA-TMS-IBA030055A	22495
	TMS14F1288P0012	IITA-TMS-IBA030055A	22495
	TMS14F1288P0013	IITA-TMS-IBA030055A	22495
	TMS14F1288P0014	IITA-TMS-IBA030055A	22495
	TMS14F1288P0015	IITA-TMS-IBA030055A	22495
	TMS14F1288P0016	IITA-TMS-IBA030055A	22495
	TMS14F1288P0017	IITA-TMS-IBA030055A	22495
	TMS14F1288P0018	IITA-TMS-IBA030055A	22495
	TMS14F1288P0019	IITA-TMS-IBA030055A	22495
	TMS14F1288P0020	IITA-TMS-IBA030055A	22495
	TMS14F1289P0001	IITA-TMS-IBA930134	22495
	TMS14F1289P0002	IITA-TMS-IBA930134	22495
	TMS14F1289P0003	IITA-TMS-IBA930134	22495
	TMS14F1289P0004	IITA-TMS-IBA930134	22495
	TMS14F1289P0005	IITA-TMS-IBA930134	22495
	TMS14F1289P0006	IITA-TMS-IBA930134	22495
	TMS14F1289P0007	IITA-TMS-IBA930134	22495
	TMS14F1289P0008	IITA-TMS-IBA930134	22495
	TMS14F1289P0009	IITA-TMS-IBA930134	22495
	TMS14F1289P0010	IITA-TMS-IBA930134	22495
	TMS14F1289P0011	IITA-TMS-IBA930134	22495
	TMS14F1289P0014	IITA-TMS-IBA930134	22495
	TMS14F1289P0015	IITA-TMS-IBA930134	22495
	TMS14F1289P0018	IITA-TMS-IBA930134	22495
	TMS14F1289P0019	IITA-TMS-IBA930134	22495
	TMS14F1289P0020	IITA-TMS-IBA930134	22495
	TMS14F1282P0001	IITA-TMS-ZAR930151	22495
	TMS14F1282P0002	IITA-TMS-ZAR930151	22495
	TMS14F1282P0003	IITA-TMS-ZAR930151	22495
	TMS14F1282P0004	IITA-TMS-ZAR930151	22495
	TMS14F1282P0005	IITA-TMS-ZAR930151	22495
	TMS14F1282P0006	IITA-TMS-ZAR930151	22495
	TMS14F1282P0007	IITA-TMS-ZAR930151	22495
	TMS14F1282P0008	IITA-TMS-ZAR930151	22495
	TMS14F1282P0009	IITA-TMS-ZAR930151	22495
	TMS14F1282P0010	IITA-TMS-ZAR930151	22495
	TMS14F1282P0011	IITA-TMS-ZAR930151	22495
	TMS14F1282P0012	IITA-TMS-ZAR930151	22495
	TMS14F1282P0013	IITA-TMS-ZAR930151	22495
	TMS14F1282P0014	IITA-TMS-ZAR930151	22495
	TMS14F1282P0015	IITA-TMS-ZAR930151	22495
	TMS14F1282P0016	IITA-TMS-ZAR930151	22495
	TMS14F1282P0017	IITA-TMS-ZAR930151	22495
	TMS14F1282P0018	IITA-TMS-ZAR930151	22495
	TMS14F1282P0019	IITA-TMS-ZAR930151	22495
	TMS14F1282P0020	IITA-TMS-ZAR930151	22495
	TMS14F1304P0001	IITA-TMS-MM970043	28658
	TMS14F1304P0002	IITA-TMS-MM970043	28658
	TMS14F1304P0003	IITA-TMS-MM970043	28658
	TMS14F1304P0004	IITA-TMS-MM970043	28658
	TMS14F1304P0005	IITA-TMS-MM970043	28658
	TMS14F1304P0006	IITA-TMS-MM970043	28658
	TMS14F1304P0007	IITA-TMS-MM970043	28658
	TMS14F1304P0008	IITA-TMS-MM970043	28658
	TMS14F1304P0009	IITA-TMS-MM970043	28658
	TMS14F1304P0010	IITA-TMS-MM970043	28658
	TMS14F1304P0011	IITA-TMS-MM970043	28658
	TMS14F1304P0012	IITA-TMS-MM970043	28658
	TMS14F1304P0013	IITA-TMS-MM970043	28658
	TMS14F1304P0014	IITA-TMS-MM970043	28658
	TMS14F1304P0015	IITA-TMS-MM970043	28658
	TMS14F1304P0016	IITA-TMS-MM970043	28658
	TMS14F1304P0017	IITA-TMS-MM970043	28658
	TMS14F1304P0018	IITA-TMS-MM970043	28658
	TMS14F1304P0019	IITA-TMS-MM970043	28658
	TMS14F1304P0020	IITA-TMS-MM970043	28658
	TMS14F1305P0001	IITA-TMS-MM970806	28658
	TMS14F1305P0002	IITA-TMS-MM970806	28658
	TMS14F1305P0003	IITA-TMS-MM970806	28658
	TMS14F1305P0004	IITA-TMS-MM970806	28658
	TMS14F1305P0005	IITA-TMS-MM970806	28658
	TMS14F1305P0006	IITA-TMS-MM970806	28658
	TMS14F1305P0007	IITA-TMS-MM970806	28658
	TMS14F1305P0008	IITA-TMS-MM970806	28658
	TMS14F1305P0009	IITA-TMS-MM970806	28658
	TMS14F1305P0010	IITA-TMS-MM970806	28658
	TMS14F1305P0011	IITA-TMS-MM970806	28658
	TMS14F1305P0012	IITA-TMS-MM970806	28658
	TMS14F1305P0013	IITA-TMS-MM970806	28658
	TMS14F1305P0014	IITA-TMS-MM970806	28658
	TMS14F1305P0015	IITA-TMS-MM970806	28658
	TMS14F1305P0016	IITA-TMS-MM970806	28658
	TMS14F1305P0017	IITA-TMS-MM970806	28658
	TMS14F1305P0018	IITA-TMS-MM970806	28658
	TMS14F1305P0019	IITA-TMS-MM970806	28658
	TMS14F1305P0020	IITA-TMS-MM970806	28658
	TMS14F1310P0001	IITA-TMS-IBA930265	28640
	TMS14F1310P0002	IITA-TMS-IBA930265	28640
	TMS14F1310P0003	IITA-TMS-IBA930265	28640
	TMS14F1310P0004	IITA-TMS-IBA930265	28640
	TMS14F1310P0005	IITA-TMS-IBA930265	28640
	TMS14F1310P0006	IITA-TMS-IBA930265	28640
	TMS14F1310P0007	IITA-TMS-IBA930265	28640
	TMS14F1310P0008	IITA-TMS-IBA930265	28640
	TMS14F1310P0009	IITA-TMS-IBA930265	28640
	TMS14F1310P0010	IITA-TMS-IBA930265	28640
	TMS14F1310P0011	IITA-TMS-IBA930265	28640
	TMS14F1310P0012	IITA-TMS-IBA930265	28640
	TMS14F1310P0014	IITA-TMS-IBA930265	28640
	TMS14F1310P0015	IITA-TMS-IBA930265	28640
	TMS14F1310P0017	IITA-TMS-IBA930265	28640
	TMS14F1310P0020	IITA-TMS-IBA930265	28640
	TMS14F1306P0001	IITA-TMS-MM970043	28640
	TMS14F1306P0002	IITA-TMS-MM970043	28640
	TMS14F1306P0003	IITA-TMS-MM970043	28640
	TMS14F1306P0004	IITA-TMS-MM970043	28640
	TMS14F1306P0005	IITA-TMS-MM970043	28640
	TMS14F1306P0006	IITA-TMS-MM970043	28640
	TMS14F1306P0007	IITA-TMS-MM970043	28640
	TMS14F1306P0008	IITA-TMS-MM970043	28640
	TMS14F1306P0009	IITA-TMS-MM970043	28640
	TMS14F1306P0010	IITA-TMS-MM970043	28640
	TMS14F1306P0011	IITA-TMS-MM970043	28640
	TMS14F1306P0012	IITA-TMS-MM970043	28640
	TMS14F1306P0013	IITA-TMS-MM970043	28640
	TMS14F1306P0014	IITA-TMS-MM970043	28640
	TMS14F1306P0015	IITA-TMS-MM970043	28640
	TMS14F1306P0016	IITA-TMS-MM970043	28640
	TMS14F1306P0017	IITA-TMS-MM970043	28640
	TMS14F1306P0018	IITA-TMS-MM970043	28640
	TMS14F1306P0019	IITA-TMS-MM970043	28640
	TMS14F1306P0020	IITA-TMS-MM970043	28640
	TMS14F1307P0001	IITA-TMS-MM970646	28640
	TMS14F1307P0002	IITA-TMS-MM970646	28640
	TMS14F1307P0003	IITA-TMS-MM970646	28640
	TMS14F1307P0004	IITA-TMS-MM970646	28640
	TMS14F1307P0005	IITA-TMS-MM970646	28640
	TMS14F1307P0006	IITA-TMS-MM970646	28640
	TMS14F1307P0007	IITA-TMS-MM970646	28640
	TMS14F1307P0008	IITA-TMS-MM970646	28640
	TMS14F1307P0009	IITA-TMS-MM970646	28640
	TMS14F1307P0010	IITA-TMS-MM970646	28640
	TMS14F1307P0011	IITA-TMS-MM970646	28640
	TMS14F1307P0012	IITA-TMS-MM970646	28640
	TMS14F1307P0013	IITA-TMS-MM970646	28640
	TMS14F1307P0014	IITA-TMS-MM970646	28640
	TMS14F1307P0015	IITA-TMS-MM970646	28640
	TMS14F1307P0016	IITA-TMS-MM970646	28640
	TMS14F1307P0017	IITA-TMS-MM970646	28640
	TMS14F1307P0018	IITA-TMS-MM970646	28640
	TMS14F1307P0019	IITA-TMS-MM970646	28640
	TMS14F1307P0020	IITA-TMS-MM970646	28640
	TMS14F1309P0001	IITA-TMS-MM970646	28640
	TMS14F1309P0002	IITA-TMS-MM970646	28640
	TMS14F1309P0003	IITA-TMS-MM970646	28640
	TMS14F1309P0004	IITA-TMS-MM970646	28640
	TMS14F1309P0005	IITA-TMS-MM970646	28640
	TMS14F1309P0006	IITA-TMS-MM970646	28640
	TMS14F1309P0007	IITA-TMS-MM970646	28640
	TMS14F1309P0008	IITA-TMS-MM970646	28640
	TMS14F1309P0009	IITA-TMS-MM970646	28640
	TMS14F1309P0010	IITA-TMS-MM970646	28640
	TMS14F1309P0011	IITA-TMS-MM970646	28640
	TMS14F1309P0012	IITA-TMS-MM970646	28640
	TMS14F1309P0013	IITA-TMS-MM970646	28640
	TMS14F1309P0014	IITA-TMS-MM970646	28640
	TMS14F1309P0015	IITA-TMS-MM970646	28640
	TMS14F1309P0016	IITA-TMS-MM970646	28640
	TMS14F1309P0017	IITA-TMS-MM970646	28640
	TMS14F1309P0018	IITA-TMS-MM970646	28640
	TMS14F1309P0019	IITA-TMS-MM970646	28640
	TMS14F1309P0020	IITA-TMS-MM970646	28640
	TMS14F1308P0001	IITA-TMS-MM970806	28640
	TMS14F1308P0002	IITA-TMS-MM970806	28640
	TMS14F1308P0003	IITA-TMS-MM970806	28640
	TMS14F1308P0004	IITA-TMS-MM970806	28640
	TMS14F1308P0005	IITA-TMS-MM970806	28640
	TMS14F1308P0006	IITA-TMS-MM970806	28640
	TMS14F1308P0007	IITA-TMS-MM970806	28640
	TMS14F1308P0008	IITA-TMS-MM970806	28640
	TMS14F1308P0009	IITA-TMS-MM970806	28640
	TMS14F1308P0010	IITA-TMS-MM970806	28640
	TMS14F1308P0011	IITA-TMS-MM970806	28640
	TMS14F1308P0012	IITA-TMS-MM970806	28640
	TMS14F1308P0013	IITA-TMS-MM970806	28640
	TMS14F1308P0014	IITA-TMS-MM970806	28640
	TMS14F1308P0015	IITA-TMS-MM970806	28640
	TMS14F1308P0016	IITA-TMS-MM970806	28640
	TMS14F1308P0017	IITA-TMS-MM970806	28640
	TMS14F1308P0018	IITA-TMS-MM970806	28640
