# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
IITA-TMS-IBA070952	IITA-TMS-IBA011442	IITA-TMS-IBA011442
IITA-TMS-IBA071295	IITA-TMS-IBA961632	IITA-TMS-IBA961632
IITA-TMS-IBA090506	IITA-TMS-IBA972205	TMEB1937
IITA-TMS-IBA090521	IITA-TMS-IBA974763	MAUNJILI
IITA-TMS-IBA090522	IITA-TMS-IBA974763	MAUNJILI
IITA-TMS-IBA940330	IITA-TMS-IBA9102325	IITA-TMS-IBA9102325
IITA-TMS-IBA950289	IITA-TMS-IBA30572	TMEB1
IITA-TMS-IBA972205	IITA-TMS-IBA30572	TMEB6
NR110005	IITA-TMS-IBA980581	IITA-TMS-IBA980581
NR110009	NR010004	NR010004
NR110012	NR010004	NR010004
NR110014	NR010004	NR010004
NR110016	NR010004	NR010004
NR110017	NR010004	NR010004
NR110043	NR8212	IITA-TMS-IBA011368
NR110044	NR87184	IITA-TMS-IBA972205
NR110048	NR87184	TMS911730
NR110052	TMS870052	IITA-TMS-IBA011335
NR110072	TMS000355	IITA-TMS-IBA980002
NR110080	IITA-TMS-IBA010090	IITA-TMS-IBA011368
NR110081	IITA-TMS-IBA010090	IITA-TMS-IBA011368
NR110083	IITA-TMS-IBA010090	IITA-TMS-WAR940038
NR110104	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110105	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110106	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110108	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110109	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110110	IITA-TMS-IBA010090	IITA-TMS-IBA980002
NR110112	IITA-TMS-IBA010103	TMS911730
NR110118	IITA-TMS-IBA011335	IITA-TMS-IBA980002
NR110122	IITA-TMS-IBA011368	IITA-TMS-IBA011442
NR110141	IITA-TMS-IBA011371	IITA-TMS-IBA011368
NR110143	IITA-TMS-IBA011371	IITA-TMS-IBA011368
NR110158	IITA-TMS-IBA011560	IITA-TMS-IBA972205
NR110183	W940006	IITA-TMS-IBA011371
NR110194	IITA-TMS-IBA972205	IITA-TMS-IBA011442
NR110213	IITA-TMS-MMM96JW1	IITA-TMS-IBA980581
NR110214	IITA-TMS-MMM96JW1	IITA-TMS-IBA980581
UG120078	UG110039	UG110039
UG120088	UG110017	UG110017
UG120104	UG110003	UG110003
UG120126	UG110017	UG110017
UG120127	UG110017	UG110017
UG120129	UG110017	UG110017
UG120130	UG110017	UG110017
UG120136	UG110039	UG110039
UG120138	UG110039	UG110039
UG120140	UG110003	UG110003
UG120142	UG110003	UG110003
UG120145	UG110003	UG110003
UG120162	UG110014	UG110014
UG120165	UG110014	UG110014
