	Marker.Effects
S6914_1376609	-0.06179
S8265_24005142	-0.0618
S5375_53450	-0.06197
S11297_591849	-0.06297
S10563_996687	-0.06325
S1551_3366575	-0.06402
S6814_646247	-0.06426
S12004_39799	-0.06454
S6278_610459	-0.06458
S12542_14293	-0.0648
S11341_582872	-0.06488
S80_232173	-0.06532
S1551_1622871	-0.06534
S12262_123295	-0.06572
S940_150103	-0.06639
S10563_458792	-0.06794
S6908_174548	-0.07053
S3741_987743	-0.07073
S9414_6599	-0.07099
S4681_593453	-0.07137
S4065_271143	-0.07426
S3235_140317	-0.07484
S12211_104742	-0.07744
S2421_1140337	-0.07816
S2080_103510	-0.0782
S4285_227555	-0.07877
S318_245078	-0.07916
S6598_300948	-0.07936
S11388_132103	-0.0796
S6028_67175	-0.08067
S7444_119272	-0.08216
S9460_91231	-0.08237
S6611_103757	-0.08307
S6137_47666	-0.0845
S6407_232902	-0.08452
S9692_230167	-0.08878
S8494_164649	-0.09172
S12686_58507	-0.09278
S12794_1740426	-0.09806
S6656_803304	-0.09817
S9013_98478	-0.10012
S9788_453634	-0.10123
S2892_478987	-0.10197
S12455_488938	-0.10399
S3741_151581	-0.10644
S2295_15627	-0.10775
S8167_142287	-0.10976
S3975_237757	-0.11354
S4209_210894	-0.12592
S11998_912093	-0.13876
S7571_291382	-0.14293
S7996_258208	-0.14535
S11998_632212	-0.16892
S6914_917023	-0.17886
