	Marker.Effects
S8359_1689389	0.00818
S6550_52292	0.008
S12004_39799	0.00777
S9000_187825	0.00777
S8122_306261	0.00757
S7520_2804544	0.00753
S3581_773436	0.00716
S10173_899514	0.00715
S1701_727586	0.00702
S6914_917023	0.00694
S7762_244113	0.0066
S341_745165	0.00657
S4681_593453	0.00639
S6631_66971	0.00632
S12728_11449	0.00582
S8542_302774	0.0055
S2421_1140337	0.0055
S6598_454335	0.00547
S2080_103510	0.00513
S1551_3200002	0.00507
S847_188168	0.00503
S2915_338070	0.00496
S7571_291382	0.00437
S4209_210894	0.00418
S5335_402068	0.00416
S7991_19945	0.00355
S12004_526993	0.00349
S13_92567	0.00344
S9410_23080	0.00319
S3241_314241	0.00306
S2688_335617	0.00306
S8265_404788	0.00294
S12794_1740426	0.00243
S7591_141290	0.00241
S7035_336332	0.00222
S11821_196927	0.00216
S12279_48910	0.00202
S8265_1788254	0.00195
S8673_46833	0.00167
S12794_1954311	0.00153
S8359_1752715	0.00126
S8617_19507	0.00122
S8245_22275	0.0012
S3329_32933	0.00113
S11581_567114	0.001
S2892_478987	0.00095
S3150_262120	0.00077
S8265_42380592	0.00059
S823_119622	0.00039
S2658_601679	0.00025
S3049_747203	0.00025
S3150_505410	0.00021
S5977_101347	2e-04
S6908_232376	3e-05
S3604_1044096	-3e-05
S7543_258314	-7e-05
S4457_462709	-0.00076
S4305_131355	-0.00118
S8265_13857522	-0.00122
S8265_24005142	-0.00123
S8265_29680101	-0.00125
S3049_609125	-0.00128
S8473_154142	-0.00139
S11661_221624	-0.0014
S4151_408968	-0.00145
S8473_23707	-0.00151
S2658_679751	-0.0016
S4851_601229	-0.00184
S8265_1262361	-0.00189
S6609_375938	-0.00197
S3115_41451	-0.002
S3000_300696	-0.00209
S3718_276118	-0.00217
S10780_25444	-0.00224
S3614_10643	-0.00258
S7520_393434	-0.00284
S3859_212947	-0.00285
S1842_18522	-0.00303
S5459_69682	-0.0032
S12091_54588	-0.00334
S12262_295534	-0.00357
S999_310366	-0.00361
S8265_36795792	-0.00361
S12794_1671144	-0.0044
S6916_1173117	-0.00516
S4175_686615	-0.00518
S2960_544575	-0.00544
S11297_430854	-0.00559
S6705_400094	-0.00593
S6598_300948	-0.00668
S2264_241725	-0.00674
S10689_537521	-0.00703
S2572_310038	-0.00732
S3741_151581	-0.00739
S5280_564518	-0.00741
S4450_193257	-0.00743
S6656_309064	-0.00762
S3754_7252	-0.00794
S7463_71588	-0.00807
S6089_509226	-0.00827
S6825_286368	-0.00837
S12865_649906	-0.00868
S2960_406907	-0.00868
S8265_3178182	-0.00877
S6278_610459	-0.00882
S6707_77683	-0.00921
S8265_6168752	-0.0095
S6916_343692	-0.00968
S325_476494	-0.00968
S10551_44996	-0.0097
S12498_209195	-0.00982
S2538_411592	-0.00983
S11689_416021	-0.00985
S12455_245618	-0.00987
S2477_162755	-0.01077
S8359_1561375	-0.01083
S1934_97870	-0.01159
S3115_156392	-0.01168
S2817_91598	-0.01176
S11689_232183	-0.01179
S4175_567563	-0.01189
S3581_431736	-0.01205
S6155_5121	-0.01212
S4457_1097015	-0.01217
S5979_296753	-0.01279
S4269_52542	-0.01303
S8265_382843	-0.01305
S3604_370570	-0.01312
S6407_232902	-0.01325
S10551_96591	-0.01347
S9788_66332	-0.01369
S6512_575155	-0.01384
S8316_64051	-0.01385
S11297_587571	-0.01391
S8265_252356	-0.01392
S3651_300950	-0.014
S12794_1396029	-0.01416
S80_224901	-0.01421
S3484_40231	-0.01433
S8686_7615221	-0.01438
S4439_28513	-0.01464
S3802_796806	-0.01501
S4209_755236	-0.01538
S12525_581929	-0.01574
S4882_470222	-0.01621
S341_311907	-0.01627
S4269_27179	-0.01645
S12414_138577	-0.01651
S8265_44371882	-0.01658
S10563_535346	-0.01706
S10367_21679	-0.01717
S11378_324775	-0.01724
S11495_150387	-0.01759
S10797_244349	-0.01761
S2436_67341	-0.01763
S10173_777651	-0.01767
S2932_69572	-0.01782
S8265_125202	-0.01784
S3235_140317	-0.01785
S4065_271143	-0.01798
S6446_121660	-0.01835
S1624_164812	-0.01835
S3602_597743	-0.01853
S935_45975	-0.01855
S6825_291677	-0.01856
S3581_377460	-0.01872
S1828_8899	-0.01886
S3741_508439	-0.01887
S3542_507815	-0.01912
S4175_365840	-0.01914
S6278_650925	-0.01936
S3741_937767	-0.01946
S80_265728	-0.0196
S12455_488938	-0.01969
S8167_142287	-0.02006
S12946_101555	-0.02017
S3186_44615	-0.02039
S8473_17888	-0.0205
S2421_401501	-0.02079
S7012_411405	-0.0209
S11998_795409	-0.02116
S11584_97726	-0.02125
S7478_325486	-0.0213
S12439_186389	-0.02177
S6877_11081	-0.02184
S3049_211198	-0.02184
S3614_868194	-0.02214
S12759_185633	-0.02224
S9501_521580	-0.0223
S8994_202519	-0.02255
S7012_12891891	-0.02281
S3735_394293	-0.02343
S10551_41284	-0.02467
S5865_159403	-0.02469
S11874_29482	-0.02479
S6028_67175	-0.02556
S12794_742415	-0.02561
S12211_104742	-0.02648
S847_2403992	-0.02652
S1127_16826	-0.02665
S6908_174548	-0.02671
S12794_2162836	-0.02689
S4065_150573	-0.02692
S8265_2750819	-0.02715
S8265_32288641	-0.02764
S3115_240349	-0.02812
S2895_111794	-0.02838
S4083_456173	-0.02841
S6512_104772	-0.02851
S6816_60873	-0.02919
S6825_348051	-0.02946
S8828_26701	-0.02985
S11998_475883	-0.03011
S3741_387303	-0.03067
S6916_898371	-0.03088
S10689_585587	-0.03141
S9231_115745	-0.03164
S7660_98872	-0.03184
S12525_872745	-0.03189
S11341_175970	-0.03197
S8860_12876	-0.0324
S9324_41069	-0.03304
S1441_60654	-0.03312
S7088_73067	-0.03323
S4083_489335	-0.03383
S8873_203398	-0.03392
S2915_246230	-0.0351
S2538_42936	-0.03513
S12211_157511	-0.03531
S8593_56062	-0.03548
S3651_443200	-0.03583
S10563_6640	-0.0362
S8686_843269	-0.03637
S10563_996687	-0.03666
S97_219243	-0.03693
S4165_382338	-0.03719
S3000_214855	-0.03723
S3614_1817341	-0.03917
S5916_58666	-0.03949
S12262_166442	-0.03961
S12753_445856	-0.03984
S11341_582872	-0.04021
S3115_135611	-0.0407
S2959_122486	-0.04113
S2936_101466	-0.04176
S10563_458792	-0.04178
S1046_216535	-0.04188
S4251_304804	-0.04235
S7762_171787	-0.04255
S1551_3722622	-0.04272
S7351_123029	-0.04349
S8003_188563	-0.04362
S6701_438755	-0.04398
S8686_5839121	-0.04405
S9414_6599	-0.0442
S8847_267195	-0.04468
S2960_642939	-0.04486
S6814_646247	-0.0455
S5875_654914	-0.0457
S1551_2925283	-0.04791
S10241_146006	-0.04833
S3333_321757	-0.04975
S3333_300006	-0.05019
S3750_654240	-0.05407
S5875_130394	-0.05545
S1551_1483219	-0.05559
S4882_161352	-0.05583
S69_57277	-0.05702
S2915_247882	-0.05717
S8673_48171	-0.05723
S2817_245804	-0.05728
S10493_282956	-0.05755
S1945_666842	-0.05757
S12794_1408925	-0.05978
S5162_212284	-0.06027
S7069_330799	-0.06185
S5019_47183	-0.06191
S8004_147325	-0.06199
S9460_85039	-0.0632
S1551_3239448	-0.06425
S8316_61524	-0.06601
S823_109683	-0.06693
S784_76866	-0.06989
S10493_191533	-0.07237
S8359_781759	-0.07492
S7996_258208	-0.07628
S1551_652731	-0.08398
S2421_322288	-0.08927
