	Marker.Effects
S12262_295534	-0.00697
S3378_380126	-0.00703
S6814_646247	-0.00727
S2853_503599	-0.00908
S2431_166818	-0.00983
S7035_336332	-0.00996
S10173_777651	-0.00998
S3975_252778	-0.01035
S9120_466058	-0.01037
S9000_187825	-0.01063
S7520_2562868	-0.01066
S7520_393434	-0.01086
S8473_23707	-0.01142
S7041_105481	-0.01199
S784_76866	-0.01206
S10493_529025	-0.01305
S6598_454335	-0.01329
S12004_315885	-0.01368
S11495_272492	-0.0144
S6278_650925	-0.01487
S8473_17888	-0.01512
S2817_245804	-0.01524
S80_232173	-0.01578
S3049_987925	-0.01619
S9788_453634	-0.01718
S1624_164812	-0.01822
S6278_732960	-0.01886
S4175_686615	-0.01957
S823_119622	-0.0201
S1842_18522	-0.02022
S9460_85039	-0.02083
S2658_601679	-0.02096
S12794_742415	-0.02097
S9876_584512	-0.02153
S3741_987743	-0.02316
S8265_32288641	-0.02514
S6137_47666	-0.02516
S7520_657920	-0.02569
S7012_1050824	-0.02588
S4269_52542	-0.02661
S7478_325486	-0.02669
S4305_131355	-0.02764
S1551_1252422	-0.02779
S8245_22275	-0.02815
S2538_42936	-0.02887
S6916_1173117	-0.02929
S3332_1040319	-0.02939
S9410_23080	-0.03016
S4151_408968	-0.0303
S8359_1561375	-0.03058
S9120_441308	-0.03063
S2658_679751	-0.03209
S4056_140993	-0.03216
S5019_47183	-0.03316
S8151_113577	-0.03327
S3115_240349	-0.0335
S847_1315798	-0.03395
S620_130205	-0.03408
S7520_2804544	-0.03528
S3735_394293	-0.03535
S6512_575155	-0.03547
S8265_404788	-0.03582
S7571_626158	-0.03648
S2915_338070	-0.03679
S2295_15627	-0.03714
S12794_1417026	-0.03747
S11689_416021	-0.03771
S2431_391893	-0.03914
S11341_582872	-0.03926
S7520_1896478	-0.03996
S9035_226	-0.04038
S6512_104772	-0.04098
S3186_44615	-0.04174
S5375_132818	-0.04273
S2688_335617	-0.04407
S3264_99474	-0.04505
S3741_440684	-0.04528
S5335_417949	-0.04732
S4882_470222	-0.04745
S12728_11449	-0.04893
S11821_196927	-0.05123
S11388_132103	-0.05549
S2892_478987	-0.05552
S8359_1752715	-0.05597
S3975_237757	-0.05611
S3049_747203	-0.05615
S4209_755236	-0.05668
S6775_95179	-0.05702
S6825_291677	-0.05702
S1551_1483219	-0.05732
S3332_808673	-0.06017
S8265_252356	-0.06055
S2895_111794	-0.06069
S3115_135611	-0.06088
S8265_36795792	-0.06296
S12794_1396029	-0.06323
S1551_1108196	-0.06447
S12439_186389	-0.0656
S3542_507815	-0.06749
S9013_98478	-0.06772
S847_188168	-0.0679
S2915_246230	-0.06934
S11297_430854	-0.07115
S3651_443200	-0.07202
S6656_133278	-0.07332
S3614_868194	-0.07509
S6853_107002	-0.07564
S5375_53450	-0.07654
S4251_304804	-0.0775
S6908_174548	-0.07779
S11297_591849	-0.07867
S4681_593453	-0.07867
S12262_166442	-0.07899
S9501_521580	-0.07972
S3750_654240	-0.08193
S2477_406510	-0.08245
S7996_258208	-0.0833
S80_265728	-0.08386
S3235_140317	-0.08473
S10689_537521	-0.08478
S4065_150573	-0.08494
S7292_69	-0.08594
S3241_355591	-0.08718
S341_745165	-0.08851
S7088_73067	-0.08897
S10563_996687	-0.08973
S12753_445856	-0.09305
S6089_24864	-0.09342
S12004_526993	-0.09407
S5875_342195	-0.09417
S6598_300948	-0.09418
S11495_580938	-0.09447
S8316_828081	-0.09588
S3245_85163	-0.09591
S9702_205063	-0.09749
S4274_177473	-0.0976
S3264_149094	-0.0977
S6155_5121	-0.09844
S12211_104742	-0.09966
S6407_232902	-0.10105
S2477_323725	-0.10137
S8265_6168752	-0.10235
S11584_97726	-0.10392
S12794_1954311	-0.1042
S10114_185859	-0.10443
S847_1804912	-0.10498
S4209_210894	-0.10541
S12865_649906	-0.10551
S935_45975	-0.10562
S1551_1622871	-0.1063
S8265_29680101	-0.10687
S2080_103510	-0.10722
S4274_140837	-0.10994
S5979_296753	-0.11006
S1046_216535	-0.11028
S3000_300696	-0.11137
S11297_160003	-0.11367
S7520_1438963	-0.11396
S6512_1743766	-0.11655
S8265_13857522	-0.11666
S6550_503577	-0.11759
S3802_796806	-0.11811
S8359_287419	-0.11868
S1551_3239448	-0.12152
S1551_1838719	-0.12222
S3750_1088142	-0.12257
S6701_438755	-0.12524
S6816_60873	-0.12545
S318_245078	-0.12558
S8994_202519	-0.12643
S7520_639628	-0.13018
S5977_101347	-0.13125
S10563_458792	-0.13232
S3614_3881800	-0.13242
S5459_69682	-0.13257
S6825_348051	-0.13285
S3049_211198	-0.1368
S11897_254957	-0.13847
S12004_39799	-0.1397
S1551_3366575	-0.1398
S5848_77293	-0.14092
S7519_562902	-0.14417
S12794_1740426	-0.14539
S1441_60654	-0.14551
S325_476494	-0.14796
S11581_567114	-0.14965
S12455_488938	-0.15153
S3604_1044096	-0.1534
S11998_912093	-0.15383
S341_927602	-0.15616
S6914_917023	-0.15852
S7861_4499	-0.15866
S8314_33002	-0.15907
S7571_291382	-0.16366
S6089_509226	-0.1644
S8265_3178182	-0.16513
S8860_12876	-0.16629
S2421_322288	-0.16694
S6850_23519	-0.17125
S10173_899514	-0.17188
S7762_171787	-0.17786
S6908_232376	-0.18073
S8265_1563741	-0.18168
S823_109683	-0.18474
S9492_223801	-0.19136
S847_2403992	-0.19338
S1551_712371	-0.19382
S2943_243361	-0.19678
S6814_392390	-0.20508
S11998_632212	-0.20625
S12794_2162836	-0.20681
S4882_161352	-0.20766
S12686_58507	-0.21103
S3741_387303	-0.2301
S3741_937767	-0.23022
S13_92567	-0.23624
S12794_1408925	-0.24144
S3741_151581	-0.2674
S6629_942	-0.2822
S8003_188563	-0.28257
S7069_339027	-0.28433
S940_150103	-0.29677
S6631_66971	-0.29807
S10241_146006	-0.37615
