	Marker.Effects
S10563_6640	0.02732
S6550_503577	0.02713
S3735_394293	0.02684
S3614_1817341	0.02615
S832_39811	0.02583
S8799_611047	0.02525
S6278_732960	0.02509
S224_309814	0.02508
S9035_226	0.02432
S2538_42936	0.02385
S7520_1438963	0.02351
S821_289681	0.02185
S248_174244	0.02175
S6916_1173117	0.02154
S4851_601229	0.02128
S3329_32933	0.02084
S3718_276118	0.02073
S6550_52292	0.02043
S8359_1752715	0.02042
S3115_156392	0.02039
S4165_382338	0.02033
S2960_406907	0.02028
S4209_210894	0.01994
S11179_10653	0.01993
S2817_91598	0.01971
S6656_309064	0.01967
S4083_456173	0.01958
S8359_287419	0.01874
S8265_1788254	0.01854
S2975_103241	0.01839
S8494_164649	0.01837
S3264_464491	0.01808
S7520_2326151	0.01794
S7012_411405	0.01776
S3332_808673	0.01769
S7520_639628	0.01758
S11495_580938	0.01719
S12091_54588	0.01717
S12759_185633	0.0171
S8359_781759	0.01704
S11341_582872	0.017
S6707_77683	0.01697
S10797_244349	0.01686
S12279_48910	0.01666
S8265_4827922	0.01656
S3049_987925	0.01655
S2436_67341	0.01639
S6814_93934	0.01623
S4285_227555	0.01585
S8316_828081	0.01542
S4175_515602	0.01498
S11495_150387	0.01428
S2960_544575	0.01414
S2080_165181	0.01397
S999_310366	0.0137
S8757_543709	0.01367
S11998_632212	0.01345
S3604_370570	0.01344
S3604_430194	0.01335
S7571_657127	0.01328
S8265_2172104	0.0132
S8873_203398	0.01251
S4457_1097015	0.01227
S3581_1431971	0.01217
S9460_85039	0.01206
S8473_23707	0.01193
S3614_10643	0.01172
S7478_325486	0.01064
S6407_232902	0.01058
S2943_739571	0.01045
S3150_505410	0.01016
S10780_25444	0.00994
S4457_297856	0.00972
S8265_13857522	0.00966
S12728_11449	0.0096
S7012_12891891	0.00938
S7991_19945	0.00904
S11689_232183	0.00892
S5280_446764	0.0089
S11581_902331	0.00855
S3741_508439	0.00854
S5375_53450	0.00853
S3241_314241	0.00827
S4489_189071	0.00804
S12455_550518	0.00801
S11998_475883	0.00792
S9692_230167	0.00775
S9788_66332	0.00731
S12004_39799	0.00646
S8686_1074871	0.00588
S6609_375938	0.00586
S4043_1147239	0.00584
S7591_141290	0.00576
S8593_56062	0.0055
S9460_91231	0.00544
S3542_507815	0.00539
S9120_466058	0.00515
S1551_712371	0.00464
S1842_18522	0.00461
S8167_142287	0.00455
S12004_43792	0.00414
S8359_1689389	0.00412
S5865_159403	0.00412
S1127_16826	0.00362
S11998_795409	0.0036
S2295_15627	0.00346
S3581_431736	0.00312
S4065_263245	0.00296
S6598_300948	0.0029
S3000_214855	0.00215
S5280_564518	0.00199
S80_265728	0.00181
S3245_85163	0.00137
S8151_113577	0.00112
S4681_262496	0.00015
S4043_1370276	0.00011
S7520_393434	-0.00011
S3150_319271	-0.00118
S3241_355591	-0.0012
S11378_324775	-0.00136
S2658_601679	-0.00167
S8686_843269	-0.00179
S6206_155413	-0.00188
S12525_581929	-0.00197
S2477_323725	-0.00226
S10551_96591	-0.00252
S1701_727586	-0.00277
S4681_593453	-0.00305
S9000_187825	-0.0032
S8265_44371882	-0.00344
S12794_1417026	-0.00404
S8265_29680101	-0.00426
S784_76866	-0.0046
S4882_470222	-0.00484
S341_311907	-0.00524
S12946_101555	-0.00536
S5335_417949	-0.00553
S12529_29862	-0.00576
S4080_8045	-0.00587
S8265_125202	-0.00588
S4269_52542	-0.00597
S11297_591849	-0.00598
S8265_252356	-0.00618
S7571_117345	-0.00625
S8265_404788	-0.00631
S5979_296753	-0.00653
S6089_24864	-0.00668
S6512_2254100	-0.00677
S8542_178809	-0.00704
S6853_107002	-0.00734
S8265_1563741	-0.0083
S7088_73067	-0.00839
S8799_699207	-0.00866
S2915_338070	-0.00867
S7861_4499	-0.0087
S6028_67175	-0.00898
S4175_567563	-0.00941
S9324_41069	-0.0095
S10173_899514	-0.00976
S4457_462709	-0.01006
S12794_742415	-0.01044
S1551_652731	-0.01046
S9702_205063	-0.01078
S3614_3881800	-0.01081
S1945_591357	-0.01093
S3237_271879	-0.01107
S8473_17888	-0.01123
S9410_23080	-0.01123
S8265_42380592	-0.0117
S3741_987743	-0.01194
S1551_2906760	-0.01208
S6825_291677	-0.01218
S12794_1671144	-0.01227
S4274_140837	-0.0124
S341_927602	-0.01323
S12004_315885	-0.0133
S1551_1838719	-0.01349
S9876_584512	-0.0135
S4274_177473	-0.01361
S10493_529025	-0.01409
S2431_166818	-0.01452
S1551_3722622	-0.01458
S3754_7252	-0.01514
S6916_343692	-0.01543
S6278_650925	-0.01569
S6137_47666	-0.01639
S4209_755236	-0.01657
S1624_164812	-0.01702
S11661_255071	-0.01768
S2431_391893	-0.01771
S8994_202519	-0.01799
S11279_135336	-0.01814
S7069_339027	-0.01816
S4175_686615	-0.01826
S8473_154142	-0.01844
S620_130205	-0.01851
S10173_777651	-0.0204
S11689_416021	-0.021
S935_45975	-0.02113
S318_245078	-0.02119
S12498_209195	-0.02141
S8122_306261	-0.02214
S7571_626158	-0.02222
S10689_585587	-0.02231
S3750_1088142	-0.02236
S11661_221624	-0.02239
S8265_6168752	-0.02252
S7488_50987	-0.02263
S2960_642939	-0.02271
S3846_12968	-0.02294
S3115_41451	-0.02321
S1551_1483219	-0.0233
S5335_402068	-0.02359
S8359_1561375	-0.02417
S2658_486557	-0.02437
S2895_111794	-0.02481
S11341_175970	-0.02488
S10963_781226	-0.02514
S847_1315798	-0.02543
S5162_212284	-0.02548
S4056_140993	-0.02554
S4450_193257	-0.02561
S2915_247882	-0.02679
S11897_254957	-0.02697
S823_109683	-0.02714
S12211_104742	-0.02736
S6550_324831	-0.02751
S2960_262567	-0.02756
S11388_132103	-0.0277
S69_57277	-0.02818
S12262_295534	-0.02821
S823_119622	-0.0286
S10551_41284	-0.02872
S5_36739	-0.02878
S4151_408968	-0.02885
S5848_77293	-0.02892
S6908_174548	-0.02911
S7041_105481	-0.02914
S3741_440684	-0.02922
S3602_597743	-0.02944
S2853_503599	-0.02958
S2080_103510	-0.03029
S10367_21679	-0.03039
S8686_5839121	-0.03043
S1551_3239448	-0.03086
S4065_150573	-0.03212
S11297_430854	-0.03223
S6761_25246	-0.03224
S2943_243361	-0.03228
S12865_649906	-0.03295
S8314_33002	-0.03302
S12542_14293	-0.03315
S13_92567	-0.03336
S2658_679751	-0.03338
S6089_509226	-0.03358
S5875_342195	-0.03362
S10493_282956	-0.03408
S6512_1743766	-0.03444
S2477_406510	-0.03457
S11821_196927	-0.03541
S8245_22275	-0.03554
S3115_135611	-0.03556
S3333_321757	-0.03601
S3049_211198	-0.03605
S9231_115745	-0.03723
S12686_58507	-0.0373
S6656_133278	-0.03794
S5375_132818	-0.038
S3235_140317	-0.03815
S12794_1954311	-0.03848
S3741_387303	-0.03865
S2959_122486	-0.03924
S6825_348051	-0.03934
S341_745165	-0.03946
S8316_61524	-0.0399
S9501_521580	-0.03996
S3000_300696	-0.04049
S6155_5121	-0.04064
S1551_2925283	-0.04069
S2936_101466	-0.04094
S1441_60654	-0.04155
S3750_654240	-0.04224
S8004_147325	-0.04316
S4269_27179	-0.04427
S11297_160003	-0.04427
S6701_438755	-0.04475
S8686_7615221	-0.04583
S3975_252778	-0.04612
S3333_300006	-0.04652
S10689_537521	-0.04671
S3581_773436	-0.04673
S325_476494	-0.04687
S3651_443200	-0.04701
S2915_246230	-0.04776
S12794_2162836	-0.0478
S6631_66971	-0.04805
S6814_392390	-0.04871
S6629_942	-0.04945
S3332_613796	-0.04971
S5916_58666	-0.05008
S4305_131355	-0.05023
S3049_747203	-0.05041
S3115_240349	-0.05056
S3604_1044096	-0.05063
S5977_101347	-0.05168
S10563_996687	-0.0517
S12753_445856	-0.05179
S6512_575155	-0.05243
S8265_36795792	-0.05266
S7519_562902	-0.05267
S847_2403992	-0.05314
S2817_245804	-0.05389
S1551_3200002	-0.05599
S6914_917023	-0.05685
S3614_868194	-0.05714
S10563_458792	-0.05892
S12439_186389	-0.0604
S4882_161352	-0.0614
S6775_95179	-0.062
S5019_47183	-0.06263
S2932_69572	-0.0646
S10114_185859	-0.06484
S12455_488938	-0.06563
S11584_97726	-0.06737
S8265_3178182	-0.0686
S6816_60873	-0.06924
S1551_1252422	-0.07124
S8673_46833	-0.07237
S12794_1396029	-0.07242
S847_188168	-0.07315
S12004_526993	-0.07636
S940_150103	-0.07996
S12794_1740426	-0.08013
S6814_646247	-0.08041
S8860_12876	-0.0812
S7571_291382	-0.08132
S8265_32288641	-0.08141
S10551_44996	-0.08187
S3741_151581	-0.08334
S7762_171787	-0.08469
S6908_232376	-0.09098
S2688_335617	-0.09258
S9492_223801	-0.09427
S6850_23519	-0.10279
S12262_166442	-0.10302
S5459_69682	-0.10766
S2421_322288	-0.10768
S4251_304804	-0.11178
S3741_937767	-0.11446
S8003_188563	-0.11752
S12794_1408925	-0.12284
S1046_216535	-0.1233
S7996_258208	-0.12856
S11581_567114	-0.13961
S2892_478987	-0.16096
S10241_146006	-0.16821
